,GEMEENTENAAM,GESLACHT,LEEFTIJDSKLASSE,KOSTEN_FARMACIE per AANTAL_VERZEKERDEJAREN,AANTAL_VERZEKERDEJAREN
0,AA EN HUNZE,M, 0 t/m  4 jaar,"70,8215127448456","504,91"
1,AALBURG,M, 0 t/m  4 jaar,"141,47822082835523","401,76"
2,AALSMEER,M, 0 t/m  4 jaar,"86,61283948008031","946,3"
3,AALTEN,M, 0 t/m  4 jaar,"117,13011178618248","709,39"
4,ACHTKARSPELEN,M, 0 t/m  4 jaar,"114,93641753304938","814,69"
5,ALBLASSERDAM,M, 0 t/m  4 jaar,"95,71073878672442","593,27"
6,ALBRANDSWAARD,M, 0 t/m  4 jaar,"100,12478057343475","751,96"
7,ALKMAAR,M, 0 t/m  4 jaar,"87,54044709565889","2695,62"
8,ALMELO,M, 0 t/m  4 jaar,"119,90241412193959","1929,48"
9,ALMERE,M, 0 t/m  4 jaar,"142,8485503669057","5975,65"
10,ALPHEN AAN DEN RIJN,M, 0 t/m  4 jaar,"108,36503187922376","2878,05"
11,ALPHEN-CHAAM,M, 0 t/m  4 jaar,"98,14448563484709","215,8"
12,AMELAND,M, 0 t/m  4 jaar,"113,75439898240407","94,34"
13,AMERSFOORT,M, 0 t/m  4 jaar,"93,49616167979002","4762,5"
14,AMSTELVEEN,M, 0 t/m  4 jaar,"88,08400235064406","2110,06"
15,AMSTERDAM,M, 0 t/m  4 jaar,"90,10754901374722","22081,56"
16,APELDOORN,M, 0 t/m  4 jaar,"118,2337423953628","3829,9"
17,APPINGEDAM,M, 0 t/m  4 jaar,"174,60754060324825","258,6"
18,ARNHEM,M, 0 t/m  4 jaar,"120,99362938524779","4128,33"
19,ASSEN,M, 0 t/m  4 jaar,"101,49899334660665","1793,07"
20,ASTEN,M, 0 t/m  4 jaar,"84,92481165117042","396,87"
21,BAARLE-NASSAU,M, 0 t/m  4 jaar,"118,76824803302952","128,37"
22,BAARN,M, 0 t/m  4 jaar,"111,86918407487792","589,76"
23,BARENDRECHT,M, 0 t/m  4 jaar,"146,69870198558743","1361,31"
24,BARNEVELD,M, 0 t/m  4 jaar,"92,97630194589624","1762,17"
25,BEDUM,M, 0 t/m  4 jaar,"111,86866503138901","240,53"
26,BEEK,M, 0 t/m  4 jaar,"77,51083372585964","254,76"
27,BEEMSTER,M, 0 t/m  4 jaar,"44,00973433380653","197,24"
28,BEESEL,M, 0 t/m  4 jaar,"68,66407140762941","306,97"
29,BERG EN DAL,M, 0 t/m  4 jaar,"97,6810945273632","663,3"
30,BERGEIJK,M, 0 t/m  4 jaar,"124,67858203047695","404,24"
31,BERGEN LB,M, 0 t/m  4 jaar,"69,75968736239543","272,52"
32,BERGEN NH,M, 0 t/m  4 jaar,"60,53383398417943","499,35"
33,BERGEN OP ZOOM,M, 0 t/m  4 jaar,"161,3965900770545","1434,05"
34,BERKELLAND,M, 0 t/m  4 jaar,"119,10422289023559","1041,23"
35,BERNHEZE,M, 0 t/m  4 jaar,"88,6543421612423","752,16"
36,BEST,M, 0 t/m  4 jaar,"77,78284205145681","704,28"
37,BEUNINGEN,M, 0 t/m  4 jaar,"131,94651099151693","548,15"
38,BEVERWIJK,M, 0 t/m  4 jaar,"112,7781232971947","1064,42"
39,BINNENMAAS,M, 0 t/m  4 jaar,"114,2878994688585","674,02"
40,BLADEL,M, 0 t/m  4 jaar,"85,25744513224537","444,25"
41,BLARICUM,M, 0 t/m  4 jaar,"139,58431504543924","148,55"
42,BLOEMENDAAL,M, 0 t/m  4 jaar,"88,99610728590072","444,42"
43,BODEGRAVEN-REEUWIJK,M, 0 t/m  4 jaar,"99,98074633937755","865,29"
44,BOEKEL,M, 0 t/m  4 jaar,"90,44596721563208","260,49"
45,BORGER-ODOORN,M, 0 t/m  4 jaar,"128,62032278252957","527,29"
46,BORNE,M, 0 t/m  4 jaar,"77,87067669172932","558,6"
47,BORSELE,M, 0 t/m  4 jaar,"115,70465908513127","590,03"
48,BOXMEER,M, 0 t/m  4 jaar,"57,127144234873754","632,51"
49,BOXTEL,M, 0 t/m  4 jaar,"110,12432191034111","761,33"
50,BREDA,M, 0 t/m  4 jaar,"115,12247663458281","4516,29"
51,BRIELLE,M, 0 t/m  4 jaar,"155,68645954164967","318,97"
52,BRONCKHORST,M, 0 t/m  4 jaar,"82,98965681334677","714,48"
53,BRUMMEN,M, 0 t/m  4 jaar,"140,11916881667943","430,23"
54,BRUNSSUM,M, 0 t/m  4 jaar,"243,10082805650265","574,84"
55,BUNNIK,M, 0 t/m  4 jaar,"69,35796991667569","369,64"
56,BUNSCHOTEN,M, 0 t/m  4 jaar,"129,6497716315656","630,56"
57,BUREN,M, 0 t/m  4 jaar,"144,7201958073078","629,19"
58,CAPELLE AAN DEN IJSSEL,M, 0 t/m  4 jaar,"105,96469761066339","1692,52"
59,CASTRICUM,M, 0 t/m  4 jaar,"73,48838999753633","649,44"
60,COEVORDEN,M, 0 t/m  4 jaar,"106,56586722280153","834,33"
61,CRANENDONCK,M, 0 t/m  4 jaar,"116,35651455096546","471,79"
62,CROMSTRIJEN,M, 0 t/m  4 jaar,"118,4989059080963","283,34"
