GEMEENTENAAM,KOSTEN_FARMACIE per AANTAL_VERZEKERDEJAREN
KOGGENLAND,"199,45311051044527"
URK,"202,19504268340492"
STAPHORST,"204,7726964677818"
DRECHTERLAND,"208,4951013504696"
FERWERDERADIEL,"211,01325513477943"
BEEMSTER,"213,34910805837333"
MONTFOORT,"214,23003203148778"
LANGEDIJK,"215,14466778334034"
MIDDEN-DELFLAND,"217,3592499979277"
UITGEEST,"217,7015504173434"
LANSINGERLAND,"218,12203449505347"
ZEEWOLDE,"219,58289275626797"
MOLENWAARD,"221,1556031507691"
PIJNACKER-NOOTDORP,"222,71860365839828"
RENSWOUDE,"223,72885764006188"
ALBRANDSWAARD,"225,99821925158795"
SCHIERMONNIKOOG,"226,16601994676586"
NEERIJNEN,"227,91517668614716"
ZWARTEWATERLAND,"228,43022596515775"
RHENEN,"228,4798590507623"
HOUTEN,"228,73405022850295"
BUNSCHOTEN,"229,603531374503"
GRONINGEN,"230,85712429631897"
ASTEN,"232,2002731123663"
DINKELLAND,"232,57915065671406"
LOPIK,"232,9467772604888"
AMELAND,"233,093030332608"
BOEKEL,"233,45559001868259"
BARNEVELD,"234,19614179415447"
ZUIDHORN,"234,6335850573959"
TUBBERGEN,"234,92266441123272"
TERSCHELLING,"235,09087059082603"
UTRECHT,"235,67415695797655"
WOUDENBERG,"236,4644944456527"
WAGENINGEN,"237,5461524069712"
BORSELE,"238,74879287377414"
LINGEWAAL,"239,0705076828787"
NIEUWKOOP,"239,1077841423061"
TEYLINGEN,"239,44216628719852"
HEERHUGOWAARD,"240,00203315458853"
SCHAGEN,"240,21024008948544"
VLIELAND,"240,2998153146754"
SCHERPENZEEL,"240,55114528466063"
HAARLEMMERLIEDE CA,"240,88072857933972"
BEUNINGEN,"240,93508460322641"
